Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Odoribacteraceae|genus_Butyricimonas|species_Butyricimonas faecihominis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_1853231|genus_574697|species_1472416	2168.0	0.0	0.0	486.0	0.0	0.0	0.0	0.0	0.0	7068.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Barnesiellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005519	4815.0	0.0	37707.0	13454.0	169712.0	2956.0	31239.0	6601.0	0.0	27649.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Barnesiellaceae|genus_Barnesiella	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005519|genus_397864	4815.0	0.0	37707.0	4211.0	153427.0	2956.0	26323.0	0.0	0.0	14217.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Barnesiellaceae|genus_Barnesiella|species_Barnesiella intestinihominis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005519|genus_397864|species_487174	4815.0	0.0	37707.0	4211.0	153427.0	2956.0	26323.0	0.0	0.0	14217.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group	no rank_1|no rank_131567|superkingdom_2|clade_1783272	424599.0	1947106.0	953286.0	5059876.0	4871101.0	195229.0	8178664.0	121870.0	4383701.0	858389.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239	424599.0	1944610.0	892729.0	4147973.0	4485134.0	184779.0	7925251.0	121558.0	4285393.0	840583.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801	396217.0	741869.0	811143.0	3321499.0	4006296.0	133825.0	2759335.0	100860.0	3375426.0	522750.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802	396217.0	741869.0	810354.0	3298113.0	4005419.0	133825.0	2756646.0	100860.0	3375426.0	522750.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Ruminococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_541000	223198.0	119725.0	205819.0	1003169.0	660467.0	6127.0	1039035.0	5884.0	367712.0	49417.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Ruminococcaceae|genus_Ruminococcus	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_541000|genus_1263	129954.0	4360.0	112584.0	101160.0	165574.0	2228.0	91140.0	5362.0	294430.0	11582.0
