Data;Sequenced;File_name;Run;Sample_ID;Project;IgA_interaction;Group
567127237;Dec;CER203_IgApos_S161_R2_001.fastq.gz;Run_1;CER203_IgApos;Sorting_MS;IgApos;CTRL_IgApos
547102898;Dec;CER203_IgApos_S161_R1_001.fastq.gz;Run_1;CER203_IgApos;Sorting_MS;IgApos;CTRL_IgApos
172578325;Apr;CER209_IgAneg_S153_R2_001.fastq.gz;Run_2;CER209_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
170341621;Apr;CER209_IgAneg_S153_R1_001.fastq.gz;Run_2;CER209_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
483840170;Dec;CER209_IgAneg_S173_R2_001.fastq.gz;Run_1;CER209_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
471065958;Dec;CER209_IgAneg_S173_R1_001.fastq.gz;Run_1;CER209_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
1948389047;Apr;CER209_IgApos_v2_S2_R2_001.fastq.gz;Run_2;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
1792864463;Apr;CER209_IgApos_v2_S2_R1_001.fastq.gz;Run_2;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
437241005;Dec;CER209_IgApos_v2_S8_R2_001.fastq.gz;Run_1;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
414112014;Dec;CER209_IgApos_v2_S8_R1_001.fastq.gz;Run_1;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
6465907;Dec;CER209_IgApos_S156_R2_001.fastq.gz;Run_1;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
4698750;Dec;CER209_IgApos_S156_R1_001.fastq.gz;Run_1;CER209_IgApos;Sorting_MS;IgApos;CTRL_IgApos
55386223;Apr;CER210_IgAneg_S118_R2_001.fastq.gz;Run_2;CER210_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
53733145;Apr;CER210_IgAneg_S118_R1_001.fastq.gz;Run_2;CER210_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
156547317;Dec;CER210_IgAneg_S133_R2_001.fastq.gz;Run_1;CER210_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
151572749;Dec;CER210_IgAneg_S133_R1_001.fastq.gz;Run_1;CER210_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
49658748;Apr;CER210_IgApos_S123_R2_001.fastq.gz;Run_2;CER210_IgApos;Sorting_MS;IgApos;CTRL_IgApos
48758281;Apr;CER210_IgApos_S123_R1_001.fastq.gz;Run_2;CER210_IgApos;Sorting_MS;IgApos;CTRL_IgApos
386215226;Dec;CER210_IgApos_S140_R2_001.fastq.gz;Run_1;CER210_IgApos;Sorting_MS;IgApos;CTRL_IgApos
376583823;Dec;CER210_IgApos_S140_R1_001.fastq.gz;Run_1;CER210_IgApos;Sorting_MS;IgApos;CTRL_IgApos
227604184;Apr;CER211_neg_r2_S222_R2_001.fastq.gz;Run_2;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
222175973;Apr;CER211_neg_r2_S222_R1_001.fastq.gz;Run_2;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
25402531;Dec;CER211_IgAneg_v2_S4_R2_001.fastq.gz;Run_1;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
24654598;Dec;CER211_IgAneg_v2_S4_R1_001.fastq.gz;Run_1;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
12185701;Dec;CER211_IgAneg_S134_R2_001.fastq.gz;Run_1;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
11744878;Dec;CER211_IgAneg_S134_R1_001.fastq.gz;Run_1;CER211_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
22596805;Apr;CER211_IgApos_S133_R2_001.fastq.gz;Run_2;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
22128219;Apr;CER211_IgApos_S133_R1_001.fastq.gz;Run_2;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
489019385;Dec;CER211_IgApos_S150_R2_001.fastq.gz;Run_1;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
475846761;Dec;CER211_IgApos_S150_R1_001.fastq.gz;Run_1;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
46460594;Dec;CER211_100K_IgApos_S121_R2_001.fastq.gz;Run_1;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
44533628;Dec;CER211_100K_IgApos_S121_R1_001.fastq.gz;Run_1;CER211_IgApos;Sorting_MS;IgApos;CTRL_IgApos
458920070;Apr;CER212_neg_r2_S219_R2_001.fastq.gz;Run_2;CER212_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
447052938;Apr;CER212_neg_r2_S219_R1_001.fastq.gz;Run_2;CER212_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
23796423;Dec;CER212_IgAneg_S174_R2_001.fastq.gz;Run_1;CER212_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
18577236;Dec;CER212_IgAneg_S174_R1_001.fastq.gz;Run_1;CER212_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
60252995;Apr;CER212_pos_r2_S225_R2_001.fastq.gz;Run_2;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
59175436;Apr;CER212_pos_r2_S225_R1_001.fastq.gz;Run_2;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
35015788;Apr;CER212_IgApos_S139_R2_001.fastq.gz;Run_2;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
34091899;Apr;CER212_IgApos_S139_R1_001.fastq.gz;Run_2;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
353101598;Dec;CER212_IgApos_S157_R2_001.fastq.gz;Run_1;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
340945806;Dec;CER212_IgApos_S157_R1_001.fastq.gz;Run_1;CER212_IgApos;Sorting_MS;IgApos;CTRL_IgApos
621031800;Apr;CER218_IgAneg_S162_R1_001.fastq.gz;Run_2;CER218_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
605606010;Apr;CER218_IgAneg_S162_R2_001.fastq.gz;Run_2;CER218_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
292556107;Dec;CER218_IgAneg_S186_R2_001.fastq.gz;Run_1;CER218_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
289460744;Dec;CER218_IgAneg_S186_R1_001.fastq.gz;Run_1;CER218_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
38259336;Apr;CER218_IgApos_S141_R2_001.fastq.gz;Run_2;CER218_IgApos;Sorting_MS;IgApos;CTRL_IgApos
37452472;Apr;CER218_IgApos_S141_R1_001.fastq.gz;Run_2;CER218_IgApos;Sorting_MS;IgApos;CTRL_IgApos
322334935;Dec;CER218_IgApos_S159_R2_001.fastq.gz;Run_1;CER218_IgApos;Sorting_MS;IgApos;CTRL_IgApos
313071655;Dec;CER218_IgApos_S159_R1_001.fastq.gz;Run_1;CER218_IgApos;Sorting_MS;IgApos;CTRL_IgApos
592045707;Apr;CER218_pos_r2_S216_R2_001.fastq.gz;Run_2;CER218_pos_r2;Sorting_test;CER218_pos_r2;CER218_pos_r2
577430733;Apr;CER218_pos_r2_S216_R1_001.fastq.gz;Run_2;CER218_pos_r2;Sorting_test;CER218_pos_r2;CER218_pos_r2
448109546;Apr;CER219_neg_r2_S217_R2_001.fastq.gz;Run_2;CER219_neg_r2;Sorting_test;CER219_neg_r2;CER219_neg_r2
