#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz.tsv.gtdb	m2_30pos_S193_R1_001.fastq.gz.tsv.gtdb	m3_38neg_S194_R1_001.fastq.gz.tsv.gtdb	m4_38pos_S195_R1_001.fastq.gz.tsv.gtdb	m5_43neg_S196_R1_001.fastq.gz.tsv.gtdb	m6_43pos_S197_R1_001.fastq.gz.tsv.gtdb	m7_98neg_S198_R1_001.fastq.gz.tsv.gtdb	m8_98pos_S199_R1_001.fastq.gz.tsv.gtdb
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Limivivens	1.14199	0.46873	0.20905	1.63562	0.0	2.57451	1.43712	0.3397799999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269	1.1093700000000002	0.5654	1.33029	0.57369	0.0	0.4734399999999999	1.70216	0.6252900000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.8830399999999999	0.13822	0.8271	0.02427	0.23719	0.0	0.02158	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R	0.75651	1.57808	1.50168	0.91863	0.0	1.19395	0.75362	1.81319
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766	0.72602	0.0	1.22682	0.00692	1.99617	0.0	0.60221	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum	0.71091	0.28833	1.34809	0.25447	1.1296	0.14875	0.41344	0.26416
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170	1.07155	0.49282	0.7854699999999999	0.60906	0.73339	0.43464	0.8259299999999999	0.59306
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus	0.72083	0.64184	1.18246	0.6020099999999999	0.0	0.68363	1.32458	0.6543399999999999
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A	0.55398	0.26582	0.59787	0.34438	0.49123	0.28667	0.26074	0.41875
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C	0.53409	0.10389	3.28108	0.26565	0.11716	0.0244	2.39306	0.04823
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia	0.64028	1.02503	0.2994	1.03058	0.0	1.57504	0.57698	1.27323
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.42327	9.66943	0.16031	8.27049	0.0	11.04848	0.49078	9.08238
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0.41527	0.15911	1.68697	0.50578	0.0	0.1977	1.03254	0.22032
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	0.5455099999999999	2.73512	0.1692	3.172	0.0	3.11049	0.427	3.2158
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.39075	0.6142	1.54703	1.2515	0.35688	0.71086	0.8321700000000001	1.01695
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter	0.33919	0.22985	0.48645	0.29692	0.70549	0.17119	0.40198	0.26608
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B	0.3532099999999999	0.21315	0.74583	0.2454599999999999	0.22697	0.26241	0.41684	0.31016
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__Spyradocola	0.309	0.13963	0.59907	0.26506	0.27207	0.13465	0.32908	0.20038
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492	0.3029	0.06418	1.22508	0.07882	0.0	0.01952	0.83494	0.04536
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.29481	0.00237	0.76507	0.0	0.0	0.00077	0.55252	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Aphodovivens	0.26167	0.45711	0.10214	0.37753	0.0	0.50998	0.14936	0.46664
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__UMGS124	0.09533	0.10852	0.18234	0.11415	0.0	0.13442	0.01851	0.16954
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola	0.23363	1.325	0.09576	1.76615	0.0	1.19013	0.1146099999999999	1.9969
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA3789	0.16928	0.20145	0.20284	0.32514	0.0	0.184	0.23424	0.25724
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	0.38014	1.32196	0.36801	1.79651	0.50305	1.7484700000000002	0.36497	1.5828099999999998
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudolachnospira	0.15404	0.34334	0.22032	0.45416	0.0	0.37734	0.20098	0.50455
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01	0.13857	0.0	0.07482	0.00204	0.0	0.00866	0.105	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13006	0.12606	0.28964	0.00501	0.28658	0.0	0.30718	0.0599	0.21484
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.12517	0.03874	0.24432	0.15349	0.0	0.10577	0.17643	0.03842
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02	0.11891	10.16779	0.29268	2.55048	0.29502	3.62881	0.1506	5.1067
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0.12214	0.0574	0.28368	0.17287	0.0	0.09529	0.11094	0.01479
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Flemingibacterium	0.10577	0.0	0.0	0.0553	0.0	0.0	0.12045	0.01277
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.10513	0.10643	0.62276	0.11684	0.0	0.06595	0.30696	0.13102
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__RUG11247	0.10411	0.14336	0.06417	0.18689	0.0	0.1685	0.10181	0.19842
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Faecivicinus	0.11844	0.60943	0.0	0.7330800000000001	0.0	0.6175799999999999	0.03235	0.64631
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1696	0.10071	0.17434	0.33329	0.23325	0.0	0.1092799999999999	0.15362	0.1928599999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001	0.0991	0.48229	0.08657	0.43631	0.0	0.49611	0.06892	0.59579
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus	0.09268	0.69465	0.0	0.5464	0.0	0.58879	0.01532	0.75694
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia	0.18263	2.42845	0.05807	4.02168	0.0	5.0243	0.19523	3.35199
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F	0.08981	0.04594	0.25344	0.16159	0.0	0.03198	0.10115	0.03195
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter	0.08837	0.24621	0.21203	0.10398	0.0	0.14424	0.04545	0.20082
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	0.13313	0.35708	0.0568899999999999	0.72632	0.0	0.37378	0.0964599999999999	0.5187299999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-302	0.16724	3.8511	0.26561	2.0910100000000003	0.0	1.7823	0.31582	3.59749
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590	0.08134	0.0	0.16971	0.01287	0.0	0.0	0.32734	0.0
