Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	m1_30_neg	m2_30_pos	m3_38_neg	m4_38_pos	m5_43_neg	m6_43_pos	m7_98_neg	m8_98_pos
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Dorea|no rank_unclassified Dorea|species_Dorea sp. AF36-15AT	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_189330|no rank_2627917|species_2292041	9627.0	9619.0	17553.0	8127.0	1806.0	8488.0	14826.0	9309.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Dorea|no rank_unclassified Dorea|species_Dorea sp. AM10-31	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_189330|no rank_2627917|species_2293098	1637.0	1285.0	3045.0	1573.0	0.0	1787.0	4579.0	729.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Dorea|species_Dorea longicatena	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_189330|species_88431	29671.0	74672.0	60733.0	87900.0	8108.0	54053.0	58601.0	66859.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Dorea|species_Dorea formicigenerans	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_189330|species_39486	2832.0	698.0	7521.0	975.0	464.0	518.0	9087.0	823.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841	37918.0	78794.0	53832.0	80060.0	3870.0	69877.0	60582.0	62896.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia|no rank_environmental samples	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841|no rank_512313	9168.0	7965.0	15013.0	13273.0	1222.0	9571.0	14933.0	7024.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia|no rank_environmental samples|species_uncultured Roseburia sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841|no rank_512313|species_512314	9168.0	7965.0	13503.0	13273.0	1222.0	9571.0	14933.0	7024.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia|no rank_unclassified Roseburia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841|no rank_2637578	4992.0	9933.0	9223.0	10980.0	519.0	8587.0	8211.0	7832.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia|no rank_unclassified Roseburia|species_Roseburia sp. AF12-17LB	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841|no rank_2637578|species_2293127	3532.0	3191.0	5093.0	4929.0	519.0	3524.0	6134.0	3110.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Roseburia|no rank_unclassified Roseburia|species_Roseburia sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_841|no rank_2637578|species_2049040	1460.0	6742.0	3310.0	5567.0	0.0	5062.0	2076.0	4722.0
